Brand,Model,Year,Country,Condition,Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Type,Drivetrain,Transmission,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Popularity,Safety_Rating,Number_of_Owners,Market_Demand,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Modification
Ferrari,720S,2024,USA,used,3.8,805,1377,2339,243,3.7,Diesel,FWD,CVT,8.2,339,385789,48261,High,3,4,High,5814,1000,12.863048458951942,10.784399780508465,Turbo
McLaren,911 Turbo S,1981,Asia,new,2.8,132,1023,1354,278,2.8,Petrol,RWD,Manual,10.8,413,129148,149552,High,1,2,Medium,9484,5000,11.768722055559437,11.915406124037432,
Lamborghini,M4 Competition,2003,Asia,used,2.8,1203,1297,1561,208,4.2,Diesel,AWD,Manual,5.2,294,115781,69627,High,2,3,Medium,8998,20000,11.659464391624411,11.1509220642726,
Chevrolet,911 Turbo S,2010,Asia,new,3.7,1054,449,2129,264,2.4,Electric,RWD,CVT,9.3,298,370637,230154,Medium,1,2,Medium,4460,20000,12.822981124004311,12.346508273971384,
McLaren,Mustang GT,2006,Europe,salvage,7.9,1005,756,2256,265,4.1,Petrol,FWD,Automatic,11.2,237,39689,218694,High,3,4,Low,645,200,10.58885454577711,12.295433344034969,RS
Lamborghini,Chiron,1981,Asia,new,2.2,1113,1755,1944,386,3.7,Diesel,FWD,CVT,8.8,322,413336,196238,High,1,1,Medium,4065,1000,12.932018519841504,12.187088583118326,V-Spec
Aston Martin,911 Turbo S,1993,Europe,salvage,3.3,1364,172,1817,196,3.7,Diesel,RWD,DCT,9.8,423,442945,247875,Low,2,4,High,942,100000,13.001203145434802,12.420683900105436,Nismo
Aston Martin,Chiron,1983,USA,new,2.2,1102,587,1988,258,5.3,Diesel,RWD,CVT,6.9,425,36025,24743,Low,2,3,Medium,4426,20000,10.491996178983504,10.116338314364905,
BMW,Huracan,1992,USA,used,3.4,1436,759,987,167,5.8,Petrol,RWD,CVT,8.5,437,442017,245240,Medium,2,4,High,9000,20000,12.999105884212536,12.409996679506543,
McLaren,720S,2015,Europe,new,2.2,508,532,2402,262,3.8,Electric,RWD,Automatic,12.2,314,23450,248737,High,4,4,Medium,13269,1000,10.06266841688844,12.424155412651164,
Aston Martin,M4 Competition,2014,Europe,used,4.9,1479,1157,1966,182,3.3,Diesel,RWD,CVT,14.7,107,275543,77559,Low,4,2,High,6027,100000,12.526502604441758,11.258807109356587,
Lamborghini,Huracan,2023,Europe,new,4.4,1451,615,2064,292,4.5,Petrol,RWD,CVT,9.7,315,411779,67434,High,4,4,High,6192,1000,12.928244505130735,11.118919449950958,
BMW,Huracan,1987,Europe,used,2.7,267,1660,2297,173,5.9,Petrol,AWD,Manual,11.9,383,326310,149607,Medium,2,2,Low,8419,1000,12.69560619332181,11.915773819028555,Turbo
Lamborghini,Corvette Z06,1981,Asia,used,2.7,254,487,1415,185,5.2,Diesel,AWD,CVT,14.8,354,293267,246485,Low,1,2,High,6188,20000,12.588842145706149,12.41506047572013,GT
BMW,488 GTB,1985,Europe,used,5.6,1063,658,1399,209,2.2,Petrol,FWD,Automatic,12.7,422,84547,240797,High,2,1,Medium,12469,5000,11.345074699404726,12.39171368673447,Nismo
McLaren,GT-R,2010,Europe,used,4.1,609,756,2202,311,4.4,Electric,RWD,Manual,5.1,304,247533,92260,High,4,4,High,14144,50,12.419303225293348,11.432376795986519,
Chevrolet,Chiron,1989,Europe,new,2.0,699,1595,1225,239,7.0,Electric,AWD,CVT,14.4,260,48122,14449,Low,2,1,High,8071,20000,10.781515512284951,9.578449693540579,Track Edition
Nissan,Corvette Z06,2023,Asia,new,7.5,1515,1684,2341,200,3.8,Petrol,RWD,Manual,13.7,213,45369,177597,High,1,3,High,5178,200,10.72260637265801,12.087277848215537,
Ford,488 GTB,2000,Asia,used,4.2,195,634,1452,317,4.2,Diesel,FWD,DCT,7.7,344,76915,55613,High,1,2,Low,4540,200,11.250469196270478,10.926190247103888,
Chevrolet,GT-R,2021,Asia,new,5.4,981,600,1787,299,3.4,Electric,AWD,CVT,6.8,435,298498,248485,Low,3,2,Medium,2918,20000,12.60652186172543,12.423141784903605,
Bugatti,Chiron,1989,USA,new,7.3,561,533,1895,293,4.5,Diesel,RWD,CVT,14.0,302,305785,74269,High,2,3,High,3221,50,12.630640789872519,11.215462380663341,
Lamborghini,720S,2002,Asia,new,4.2,1258,347,1892,253,2.8,Petrol,RWD,Manual,11.9,316,484482,236575,High,1,2,Medium,12841,1000,13.090837621978071,12.374024788356826,
Bugatti,GT-R,1982,Europe,new,6.9,1242,256,1828,319,3.2,Electric,RWD,CVT,7.4,244,326500,63826,Low,2,1,Medium,1076,5000,12.696188290481068,11.063931577302242,
Chevrolet,M4 Competition,2011,Asia,used,7.5,730,1383,1820,165,5.6,Diesel,RWD,CVT,12.1,233,355119,198040,Medium,4,1,High,9960,20000,12.780211039507916,12.196229358947562,Supercharged
BMW,Huracan,1999,Asia,used,2.7,985,910,1207,282,2.7,Petrol,RWD,Automatic,11.0,273,218730,186873,Low,1,3,Low,699,20000,12.295597943304703,12.1381898719422,
Ford,488 GTB,1989,Europe,salvage,7.3,135,954,1556,392,6.6,Diesel,RWD,CVT,8.1,369,249216,223844,Medium,1,4,Low,7078,1000,12.426079281867228,12.318709127033678,
Ford,488 GTB,2008,Asia,new,2.4,287,591,2230,283,3.5,Electric,FWD,Automatic,10.6,264,302760,80748,High,4,2,Medium,14184,5000,12.620698994363877,11.299100857107293,V-Spec
Ferrari,488 GTB,2020,USA,salvage,3.4,459,637,1369,319,4.9,Petrol,RWD,DCT,10.3,206,284452,155222,Low,2,4,Low,10100,100000,12.558323316792187,11.95261807162762,
Ford,Chiron,2013,Asia,used,6.8,1256,1604,2107,365,3.6,Petrol,RWD,DCT,10.1,347,252659,165387,Medium,3,1,Low,11404,5000,12.439799990384028,12.01604950754918,
Nissan,M4 Competition,2016,USA,salvage,7.4,352,424,1524,179,4.4,Diesel,AWD,Manual,10.2,431,370071,168200,High,2,1,High,4324,20000,12.821452860283928,12.032914971806521,
Ford,GT-R,1999,USA,used,6.0,531,774,1190,378,6.5,Diesel,RWD,Manual,5.0,438,146506,173436,Low,3,2,Low,5840,1000,11.894828487867722,12.063569700035853,Nismo
Chevrolet,Huracan,1987,USA,used,2.3,674,300,1148,309,2.3,Petrol,RWD,Manual,7.7,440,108673,134052,Low,3,3,High,5159,20000,11.596107854066323,11.805990523122746,
Ferrari,M4 Competition,1986,Europe,new,4.9,638,149,1223,330,6.3,Electric,AWD,Manual,9.3,128,225597,213264,Low,2,1,Low,4420,100000,12.326509933318517,12.270290802856739,Turbo
Chevrolet,Corvette Z06,1985,Asia,new,5.3,313,1091,2366,296,4.8,Electric,AWD,CVT,6.3,319,374889,90018,Low,4,4,High,3819,100000,12.834387928588576,11.407776038142698,
Chevrolet,720S,1990,USA,new,3.4,1044,884,1503,200,5.3,Diesel,RWD,Automatic,12.5,308,314527,6642,Low,3,1,Medium,5690,100000,12.658828381366355,8.80131894766524,
Porsche,911 Turbo S,2023,USA,salvage,7.9,1240,159,958,386,2.3,Diesel,FWD,Manual,13.5,148,31748,5102,High,2,2,Medium,5078,5000,10.365616507761834,8.537583881063972,GT
Ferrari,M4 Competition,1997,Asia,salvage,3.7,710,306,1920,305,5.8,Diesel,AWD,DCT,13.2,101,398399,229744,High,1,3,High,5251,1000,12.895211804692579,12.344725277195483,
Chevrolet,Corvette Z06,2021,Europe,used,2.9,667,438,1168,324,2.6,Electric,AWD,CVT,9.6,297,335607,65384,Low,3,1,Low,8456,100000,12.723699091193334,11.088048153340603,Turbo
Porsche,Huracan,2008,Europe,used,2.3,647,1370,2241,221,6.8,Electric,RWD,Automatic,11.9,188,336176,55261,Low,2,2,High,11637,20000,12.72539308595674,10.919840790366809,Supercharged
Porsche,911 Turbo S,2004,USA,salvage,4.0,897,851,993,277,6.0,Diesel,AWD,Automatic,5.8,310,427618,172408,High,3,1,Low,10445,5000,12.965987891196377,12.057624840025472,
Ferrari,911 Turbo S,2000,Europe,used,6.0,424,1011,2177,256,4.5,Diesel,RWD,Manual,7.0,169,433926,33851,High,2,1,Low,8696,50,12.980631596169893,10.429753360789997,
Bugatti,M4 Competition,1982,Asia,used,3.1,1144,443,1586,276,6.6,Petrol,FWD,Manual,5.5,292,60938,180995,Medium,2,4,Medium,2108,5000,11.017628642821865,12.106230210556252,
BMW,488 GTB,1997,Europe,new,6.5,389,1062,2383,278,2.8,Petrol,FWD,Automatic,14.7,145,491274,192936,High,3,1,Medium,4066,200,13.104759331455968,12.170118989728362,
Nissan,DBS,2003,Asia,new,2.5,955,1186,1414,345,7.0,Petrol,RWD,DCT,10.7,162,333497,56771,Medium,1,1,Low,1448,5000,12.717392147318334,10.946798525419148,Track Edition
BMW,Huracan,2017,USA,new,4.4,1457,775,1432,334,5.6,Petrol,FWD,Manual,6.8,218,428587,2007,Low,1,3,High,9710,100000,12.9682513634962,7.60489448081162,Turbo
Ford,488 GTB,1989,Asia,new,6.1,445,1421,2027,299,2.5,Diesel,RWD,Automatic,12.1,325,254532,233346,High,3,4,High,5859,5000,12.44718577257859,12.360281895070765,
Nissan,Huracan,2006,USA,used,2.5,875,1462,1301,363,4.7,Electric,AWD,CVT,9.9,440,261321,103560,Low,2,3,Low,14598,5000,12.473508642377105,11.547916090056782,
Ford,DBS,1991,Asia,new,5.4,848,293,1866,243,5.6,Electric,AWD,Automatic,9.3,126,41816,39690,Medium,1,2,High,5810,20000,10.641058234397995,10.588879740723005,
Chevrolet,720S,1986,Asia,used,6.7,1230,804,2256,207,5.1,Petrol,RWD,Manual,14.1,290,237099,204767,High,2,1,Medium,5625,5000,12.376237272053496,12.229632909939186,V-Spec
Lamborghini,DBS,1996,Europe,new,5.4,809,1184,1620,368,4.1,Electric,RWD,CVT,12.1,378,456397,29930,Medium,3,4,Low,1842,20000,13.03112051483951,10.306650011581617,Sport
Ferrari,Mustang GT,1980,Asia,new,4.9,983,528,1776,368,3.2,Petrol,AWD,DCT,11.9,327,322304,75251,High,2,3,High,10638,1000,12.683253581179939,11.22859776033102,
Nissan,M4 Competition,2005,USA,used,7.0,590,1705,1507,162,3.2,Diesel,RWD,Automatic,6.0,323,218810,83198,Low,1,3,Low,10212,1000,12.29596362248929,11.328990607506299,
Nissan,M4 Competition,1994,Asia,used,7.9,1209,1466,992,316,6.6,Petrol,AWD,Automatic,5.9,394,233510,173884,Low,1,2,Low,11689,20000,12.360984464189194,12.066149440152836,
Chevrolet,Corvette Z06,2012,USA,new,2.8,936,299,2480,176,3.2,Electric,RWD,Automatic,11.6,157,434697,236007,High,3,2,Medium,1938,200,12.982406816092134,12.371620981738296,
Bugatti,488 GTB,2016,USA,used,6.0,1234,973,1473,316,6.8,Electric,AWD,CVT,6.6,400,331531,91484,Low,3,2,High,4531,1000,12.711479614869305,11.423930303398667,
Porsche,Corvette Z06,2010,Asia,new,2.1,1329,1302,2465,379,3.1,Electric,FWD,Manual,9.5,308,139845,148193,Low,3,3,Low,6536,5000,11.848297096147409,11.90627750519459,GT
Chevrolet,Mustang GT,2014,Europe,salvage,1.9,922,156,1870,270,3.9,Diesel,FWD,Automatic,10.7,241,370127,183663,Low,2,1,Low,1537,1000,12.821604170740851,12.120863280305278,
Aston Martin,DBS,1980,Asia,used,3.4,1059,525,1336,349,2.1,Petrol,AWD,CVT,8.9,249,57161,60918,Low,1,2,High,5827,100000,10.953644620934835,11.017300391903918,
Porsche,M4 Competition,1987,Asia,new,7.8,278,658,1933,289,6.5,Diesel,AWD,Automatic,5.9,116,201491,185441,Medium,3,3,High,501,1000,12.21350495734747,12.13049744367504,Supercharged
Ferrari,Chiron,1991,Europe,used,5.1,897,495,1355,301,2.5,Diesel,AWD,Manual,12.4,339,399002,91412,Low,1,2,High,13189,100000,12.896724214640727,11.42314297927572,
Porsche,DBS,1998,USA,used,3.3,1434,375,1314,167,3.8,Petrol,AWD,CVT,13.9,137,29707,86040,Low,1,1,High,9221,100000,10.299171648789187,11.362579205815287,Nismo
Bugatti,DBS,2004,Asia,used,2.4,474,397,2441,268,6.2,Electric,AWD,DCT,6.6,445,396474,76244,Medium,4,2,Low,7702,5000,12.890368266366801,11.241707118549112,Turbo
Porsche,Mustang GT,2011,Europe,used,7.5,1103,368,2298,164,6.0,Electric,FWD,Automatic,13.5,386,109993,22077,High,1,4,High,5357,20000,11.60818109783235,10.002336916578297,V-Spec
Ferrari,720S,1991,Europe,new,3.9,1051,812,2454,337,6.2,Electric,AWD,Manual,12.9,197,161609,58963,High,1,3,Low,2629,5000,11.992941304342688,10.984682367167169,Nismo
Bugatti,Huracan,1992,USA,used,3.6,159,1160,2447,293,6.6,Electric,RWD,DCT,10.6,157,259545,159255,Low,3,3,Low,5388,20000,12.46668922984785,11.97826824933377,
BMW,Mustang GT,2007,Europe,used,7.1,859,1511,2296,246,6.6,Diesel,FWD,Manual,11.0,446,338314,233156,Medium,3,2,High,4054,5000,12.731732693129617,12.35946732537573,
Nissan,Huracan,1980,USA,restored,5.5,1111,244,1603,223,5.9,Petrol,AWD,DCT,11.5,116,164424,18856,Low,2,2,Medium,1398,5000,12.010209818169551,9.844639476726922,
Nissan,M4 Competition,1985,Asia,new,2.7,360,1455,1781,196,4.9,Petrol,RWD,Manual,10.2,219,193320,7096,Low,3,1,Medium,10201,20000,12.172107298716178,8.867427438524983,
Ford,Mustang GT,1987,Europe,used,4.3,1512,331,1661,301,4.8,Petrol,FWD,DCT,13.4,122,252555,225857,Low,1,2,Medium,13356,5000,12.439388285285737,12.327661762195508,GT
BMW,Huracan,1983,Asia,used,7.5,1315,591,2362,322,2.1,Diesel,RWD,CVT,9.7,309,385793,210681,Medium,2,2,Low,14271,20000,12.863058827233298,12.258105166622325,Nismo
BMW,Corvette Z06,1984,Europe,used,7.4,858,868,2118,168,5.6,Electric,AWD,DCT,10.5,312,217805,79112,Medium,2,1,Low,2345,5000,12.291360037310918,11.278632489177351,
Porsche,Mustang GT,2004,Europe,new,2.0,1381,1558,1164,240,3.1,Electric,RWD,Manual,5.4,247,47752,138474,Medium,3,4,Medium,12291,5000,10.77379717116046,11.838445082901304,
Nissan,M4 Competition,2001,Asia,new,3.3,1374,619,1406,386,6.1,Petrol,RWD,Automatic,6.8,195,367996,53895,Low,4,1,High,3975,5000,12.815830064943926,10.894811542640495,
Ferrari,Mustang GT,2007,Europe,new,2.6,875,930,1545,318,4.8,Electric,FWD,DCT,14.0,359,26481,137341,Low,4,1,Low,2680,100000,10.184220535899701,11.83022944446852,Sport
McLaren,M4 Competition,2018,Asia,new,5.0,1226,1008,1796,180,6.9,Diesel,RWD,Manual,6.2,172,210133,219743,Low,3,1,High,7984,20000,12.255500701441497,12.300218511420402,
McLaren,Mustang GT,2002,Asia,used,6.4,528,1324,2349,362,3.1,Electric,RWD,Automatic,14.0,430,414844,180025,High,4,3,Low,6546,1000,12.935660235470685,12.100856563885698,
Bugatti,Huracan,1983,USA,used,3.5,224,1532,1760,165,5.6,Electric,FWD,CVT,11.4,148,142486,88902,Low,1,2,Medium,3339,20000,11.867006046459133,11.395301166714397,
Nissan,720S,1983,Asia,restored,6.5,604,1330,1588,300,4.7,Electric,AWD,CVT,14.2,321,229016,33317,High,3,4,Medium,1758,5000,12.341551515588895,10.413853070469662,
Nissan,GT-R,2000,USA,used,5.9,1248,1611,1766,227,6.7,Petrol,RWD,Automatic,13.1,381,101082,199827,High,2,3,High,14963,20000,11.523697240523516,12.205212275518019,
McLaren,Huracan,2016,Asia,new,6.3,904,1600,2022,172,3.3,Diesel,AWD,Manual,13.7,131,117036,165370,Low,4,2,High,4256,100000,11.670245403103019,12.015946713671976,
Nissan,488 GTB,2020,Europe,new,7.7,1277,1277,1953,190,2.3,Petrol,FWD,Manual,10.2,127,104821,176686,High,1,3,Low,9119,200,11.560018952502311,12.082135084576972,
Porsche,911 Turbo S,1981,Asia,used,4.3,929,294,2214,295,4.7,Diesel,AWD,DCT,13.3,406,455727,67662,Low,1,3,Low,843,100000,13.029651419296783,11.122294780695517,GT
Aston Martin,720S,1986,Europe,used,3.8,1073,1404,2498,313,4.6,Petrol,RWD,CVT,9.6,267,290879,202726,Medium,4,2,Low,9840,1000,12.58066608997125,12.219615525345546,Nismo
Lamborghini,Corvette Z06,1995,USA,used,6.0,1152,436,1386,161,3.6,Diesel,RWD,CVT,5.4,136,241607,21019,High,2,4,Low,7747,1000,12.395071857077369,9.953229644430941,RS
BMW,DBS,1996,Europe,new,6.8,750,1120,2329,397,6.9,Diesel,AWD,CVT,11.5,333,367481,70110,High,2,3,High,4194,20000,12.814429616843652,11.157834979399821,Nismo
Ford,Huracan,1999,Asia,used,2.8,989,943,927,378,2.3,Petrol,AWD,CVT,12.3,278,395902,12219,Low,2,1,Medium,3738,1000,12.88892451073664,9.410829232725586,
Bugatti,Mustang GT,2002,Europe,new,7.0,1093,989,2069,224,4.8,Petrol,RWD,Manual,6.0,156,339442,10517,Low,2,3,High,13583,100000,12.73506131792341,9.260843354149289,
Aston Martin,Huracan,2013,USA,used,2.0,1201,1050,1187,346,3.3,Electric,FWD,CVT,13.2,332,96905,59111,Low,3,3,High,12143,20000,11.481496715466568,10.987189228468484,
McLaren,Chiron,1990,Europe,salvage,1.6,942,1006,1480,328,2.0,Diesel,RWD,Automatic,5.8,435,116117,188528,Low,2,2,Medium,3182,100000,11.662362194428406,12.147007120190942,
BMW,720S,2013,Europe,used,2.6,224,388,1849,234,6.9,Diesel,RWD,Manual,9.4,171,217601,153266,Medium,3,3,High,14584,20000,12.290422985098155,11.939936777499378,
